City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pisco,-13.7,-76.2167,24.03,73,54,7.72,PE,1674431518
84,peleduy,59.6289,112.7406,-35.9,94,100,3.47,RU,1674432039
85,henties bay,-22.116,14.2845,18.68,86,80,3.5,NA,1674431845
86,chokurdakh,70.6333,147.9167,-43.16,100,62,2.31,RU,1674431507
87,baykit,61.67,96.37,-31.26,97,100,1.5,RU,1674431871
88,quang ngai,15.1167,108.8,21.49,91,82,1.11,VN,1674432040
89,sambava,-14.2667,50.1667,24.58,83,100,1.53,MG,1674431576
90,tuktoyaktuk,69.4541,-133.0374,-17.0,85,100,4.12,CA,1674431477
91,turayf,31.6725,38.6637,8.68,65,37,3.96,SA,1674432041
92,andros town,24.7,-77.7667,23.98,75,44,6.61,BS,1674431999
93,wanaka,-44.7,169.15,16.29,58,92,0.57,NZ,1674432041
94,port augusta,-32.5,137.7667,30.48,26,44,3.55,AU,1674432042
95,tarakan,3.3,117.6333,24.72,94,40,1.03,ID,1674432043
96,almaznyy,48.0448,40.045,-2.12,78,67,7.06,RU,1674432043
97,lagoa,39.05,-27.9833,15.03,81,53,8.93,PT,1674431510
98,bengkulu,-3.8004,102.2655,22.64,96,100,2.23,ID,1674431461
99,cape town,-33.9258,18.4232,21.06,73,0,4.63,ZA,1674431270
100,vanimo,-2.6741,141.3028,26.33,84,100,0.79,PG,1674431930
101,supuru de jos,47.4667,22.8,2.84,85,95,3.12,RO,1674432044
102,erzin,36.9559,36.2,10.81,62,0,2.43,TR,1674431813
103,klaksvik,62.2266,-6.589,6.51,75,100,10.07,FO,1674431474
104,menongue,-14.6585,17.691,16.94,97,100,2.39,AO,1674432045
105,guarapari,-20.6667,-40.4975,23.44,91,100,2.35,BR,1674432045
106,khani,41.9563,42.9566,3.76,61,1,2.56,GE,1674432046
107,makakilo city,21.3469,-158.0858,26.45,64,6,2.74,US,1674432046
108,saskylakh,71.9167,114.0833,-33.36,87,100,1.03,RU,1674431556
109,mukhen,48.1,136.1,-28.76,89,11,1.45,RU,1674432047
110,glyadyanskoye,54.9075,65.0883,-7.84,87,98,5.31,RU,1674432047
111,moree,-29.4667,149.85,26.58,58,32,5.76,AU,1674432048
112,krk,45.0258,14.5731,6.38,64,100,10.5,HR,1674432048
113,mantua,45.1667,10.7833,4.08,86,100,0.89,IT,1674431411
114,lavrentiya,65.5833,-171.0,-28.94,93,62,5.14,RU,1674431501
115,barcelona,41.3888,2.159,7.14,57,75,3.6,ES,1674432013
116,clyde river,70.4692,-68.5914,-31.87,68,100,11.83,CA,1674431567
117,namibe,-15.1961,12.1522,22.46,80,100,1.26,AO,1674431485
118,kalininsk,51.5,44.4758,-10.66,89,98,2.3,RU,1674432049
119,tura,25.5198,90.2201,13.49,53,11,1.44,IN,1674431825
120,dikson,73.5069,80.5464,-22.86,92,100,11.47,RU,1674431459
121,sayansk,54.1088,102.1648,-41.16,97,32,2.17,RU,1674432050
122,pangnirtung,66.1451,-65.7125,-19.75,100,100,2.01,CA,1674431921
123,saint anthony,45.0205,-93.218,-5.98,95,92,1.5,US,1674431736
124,uyuni,-20.4597,-66.825,15.91,37,88,7.82,BO,1674432051
125,komnina,40.6,21.7833,5.88,95,96,1.91,GR,1674432051
126,bredasdorp,-34.5322,20.0403,18.72,86,21,2.8,ZA,1674431342
127,auki,-8.7676,160.7034,30.22,62,85,0.64,SB,1674431862
128,voyinka,45.8699,33.9914,0.85,90,51,3.5,UA,1674432052
129,kharp,66.8014,65.8081,-7.77,92,19,3.92,RU,1674432052
130,ancud,-41.8697,-73.8203,15.28,81,9,1.91,CL,1674431512
131,brae,60.3964,-1.353,8.14,92,100,5.32,GB,1674431800
132,vaini,-21.2,-175.2,30.09,74,20,1.03,TO,1674431483
133,havelock,34.8791,-76.9013,16.63,86,100,1.79,US,1674431800
134,uribia,11.7139,-72.266,26.45,66,1,10.26,CO,1674432053
135,galich,58.3797,42.3475,-18.2,100,100,1.21,RU,1674432054
136,hasaki,35.7333,140.8333,4.01,88,100,5.52,JP,1674431545
137,santa rosa,14.3122,121.1114,26.68,76,57,4.56,PH,1674431979
138,esperance,-33.8667,121.9,21.07,52,5,3.94,AU,1674431489
139,sioux lookout,50.1001,-91.917,-6.96,86,40,2.57,CA,1674431952
140,san carlos de bariloche,-41.1456,-71.3082,21.86,30,20,9.26,AR,1674431506
141,ahipara,-35.1667,173.1667,21.15,69,87,2.57,NZ,1674431542
142,liwale,-9.7667,37.9333,20.16,98,100,1.11,TZ,1674432055
143,sitka,57.0531,-135.33,2.94,87,100,11.32,US,1674431548
144,gigmoto,13.7796,124.39,24.85,90,100,5.17,PH,1674432056
145,puerto ayora,-0.7393,-90.3518,24.75,94,69,1.79,EC,1674431423
146,puerto armuelles,8.2833,-82.8667,25.27,82,19,3.05,PA,1674432056
147,gombong,-7.6072,109.5142,25.0,90,97,1.5,ID,1674432057
148,saint-philippe,-21.3585,55.7679,23.77,86,100,2.11,RE,1674431500
149,khatanga,71.9667,102.5,-41.35,96,17,1.45,RU,1674431262
150,mineiros,-17.5694,-52.5511,20.52,92,85,1.84,BR,1674432057
151,taltal,-25.4,-70.4833,20.29,79,23,2.15,CL,1674432058
152,gondanglegi,-7.7479,112.0132,25.06,85,89,1.62,ID,1674432006
153,mahebourg,-20.4081,57.7,25.14,94,75,1.03,MU,1674431485
154,touros,-5.1989,-35.4608,26.64,79,9,5.47,BR,1674431816
155,wanning,18.8003,110.3967,21.98,93,96,1.73,CN,1674431784
156,port lincoln,-34.7333,135.8667,19.05,73,99,4.72,AU,1674431503
157,isiolo,0.3546,37.5822,19.16,67,99,2.33,KE,1674432059
158,tasiilaq,65.6145,-37.6368,-15.4,59,67,3.33,GL,1674431536
159,dolores,-36.3132,-57.6792,22.37,60,72,4.02,AR,1674432002
160,aykhal,66.0,111.5,-32.79,84,100,1.81,RU,1674431540
161,missoula,47.0166,-113.8009,-4.69,95,94,1.25,US,1674432060
162,luderitz,-26.6481,15.1594,18.37,86,0,7.03,NA,1674431542
163,itaituba,-4.2761,-55.9836,23.05,98,99,0.8,BR,1674432060
164,mnogovershinnyy,53.9353,139.9242,-32.6,86,99,1.82,RU,1674431999
165,marawi,7.9986,124.2928,19.72,97,100,1.34,PH,1674431515
166,nouakchott,18.0858,-15.9785,16.96,55,2,3.89,MR,1674431729
167,longyearbyen,78.2186,15.6401,2.91,81,75,4.63,SJ,1674431669
168,lompoc,34.6391,-120.4579,17.1,51,95,4.47,US,1674431734
169,murwara,23.85,80.4,16.46,60,41,2.24,IN,1674432061
170,prince rupert,54.3161,-130.3201,2.05,93,100,4.63,CA,1674432062
171,vao,-22.6667,167.4833,26.33,86,93,8.01,NC,1674431497
172,quatre cocos,-20.2078,57.7625,25.05,81,100,2.67,MU,1674431636
173,tessalit,20.1986,1.0114,18.78,14,0,4.09,ML,1674431558
174,chuy,-33.6971,-53.4616,20.8,79,19,2.97,UY,1674431508
175,jieshi,22.8134,115.8257,17.88,84,5,4.71,CN,1674432063
176,aksarka,66.5606,67.7975,-8.62,87,77,4.87,RU,1674431510
177,shubarkuduk,49.1447,56.4872,-14.91,73,0,1.76,KZ,1674432064
178,ilulissat,69.2167,-51.1,-10.81,97,100,1.07,GL,1674431529
179,oksfjord,70.2396,22.3479,5.1,82,98,4.21,NO,1674432064
180,provideniya,64.3833,-173.3,-19.94,71,75,8.0,RU,1674431437
181,hovd,48.0056,91.6419,-22.77,59,4,0.84,MN,1674431752
182,eureka,40.8021,-124.1637,11.53,68,27,6.71,US,1674431944
183,rudbar,30.15,62.6,1.07,56,0,3.68,AF,1674432066
184,faya,18.3851,42.4509,11.67,65,2,0.18,SA,1674432066
185,souillac,-20.5167,57.5167,24.21,94,75,1.03,MU,1674431492
186,buncrana,55.1333,-7.45,6.57,97,100,2.33,IE,1674432067
187,san cristobal,7.7669,-72.225,22.1,73,84,0.87,VE,1674431982
188,campeche,19.0,-90.5,25.83,67,11,2.62,MX,1674431530
189,nanortalik,60.1432,-45.2371,-5.9,59,60,1.92,GL,1674431531
190,ribeira grande,38.5167,-28.7,16.54,79,40,8.94,PT,1674431486
191,avarua,-21.2078,-159.775,28.03,74,75,4.12,CK,1674431474
192,kaka,37.3482,59.6143,-2.63,58,0,1.35,TM,1674431863
193,taganak,6.0833,118.3,26.52,83,96,5.82,PH,1674432069
194,mar del plata,-38.0023,-57.5575,21.01,79,20,5.36,AR,1674431503
195,honningsvag,70.9821,25.9704,0.86,86,75,8.75,NO,1674431734
196,olafsvik,64.8945,-23.7142,0.2,53,19,12.82,IS,1674431746
197,ojinaga,29.5667,-104.4167,16.53,21,0,0.0,MX,1674432070
198,hebi,35.8992,114.1925,1.48,31,97,2.69,CN,1674432070
199,baijiantan,45.6333,85.1833,-24.54,93,13,2.38,CN,1674432071
200,ilyich,40.8464,68.5067,-14.11,97,91,1.25,KZ,1674432071
201,itarema,-2.9248,-39.9167,25.98,81,25,5.21,BR,1674431277
202,cockburn town,21.4612,-71.1419,25.4,76,20,9.19,TC,1674431461
203,broome,42.2506,-75.833,1.59,88,100,2.06,US,1674431822
204,okakarara,-20.5833,17.4333,22.07,67,97,4.4,NA,1674432072
205,tiksi,71.6872,128.8694,-28.7,92,100,1.95,RU,1674431533
206,college,64.8569,-147.8028,-28.01,76,75,0.0,US,1674432073
207,nemuro,43.3236,145.575,-6.83,59,32,6.3,JP,1674432048
208,whitehorse,60.7161,-135.0538,-1.66,90,100,5.14,CA,1674431607
209,nguruka,-5.1092,31.0419,17.62,92,100,1.15,TZ,1674432073
210,dickson,36.077,-87.3878,5.44,94,100,3.09,US,1674431521
211,butaritari,3.0707,172.7902,27.08,75,95,5.63,KI,1674431488
212,san policarpo,12.1791,125.5072,26.51,84,100,6.89,PH,1674431486
213,dinuba,36.5433,-119.3871,11.99,81,100,0.0,US,1674432074
214,safaga,26.7292,33.9365,17.74,50,45,5.14,EG,1674432075
215,leningradskiy,69.3833,178.4167,-35.66,90,41,2.67,RU,1674431539
216,yuzha,56.5831,42.0122,-18.08,100,97,1.5,RU,1674432075
217,hami,42.8,93.45,-13.43,32,0,4.42,CN,1674431522
218,muros,42.7762,-9.0603,4.49,86,53,3.44,ES,1674431520
219,batagay,67.6333,134.6333,-48.94,99,74,1.29,RU,1674432076
220,ascension,30.2169,-90.9001,14.0,63,0,0.0,US,1674432077
221,buala,-8.145,159.5921,30.12,63,96,2.69,SB,1674431524
222,nosy varika,-20.5833,48.5333,23.15,94,100,3.65,MG,1674432078
223,mikkeli,61.6886,27.2723,-8.25,92,100,1.54,FI,1674432078
224,kudahuvadhoo,2.6708,72.8944,25.82,81,77,4.42,MV,1674432079
225,port hardy,50.6996,-127.4199,5.1,93,100,5.66,CA,1674431483
226,aklavik,68.2191,-135.0107,-21.71,92,97,5.19,CA,1674431514
227,saint-pierre,-21.3393,55.4781,23.82,83,0,2.57,RE,1674431573
228,port macquarie,-31.4333,152.9167,24.02,69,51,2.26,AU,1674431713
229,riyadh,24.6877,46.7219,13.08,57,73,3.56,SA,1674431960
230,tilichiki,60.4667,166.1,-9.31,64,100,12.46,RU,1674432080
231,nyurba,63.2842,118.3319,-30.01,91,100,4.1,RU,1674431513
232,codrington,-38.2667,141.9667,19.86,66,100,1.88,AU,1674431266
233,chumikan,54.7183,135.315,-32.55,84,100,7.51,RU,1674432081
234,constitucion,-35.3333,-72.4167,16.98,76,10,6.83,CL,1674431564
235,ketchikan,55.3422,-131.6461,1.56,98,100,3.27,US,1674431788
236,port elizabeth,-33.918,25.5701,21.72,92,100,1.03,ZA,1674431434
237,bose,45.4612,8.0137,1.78,51,86,2.37,IT,1674432082
238,doka,13.5167,35.7667,23.52,26,5,3.29,SD,1674432082
239,faanui,-16.4833,-151.75,26.46,70,93,1.62,PF,1674431936
240,amuntai,-2.4177,115.2494,24.14,95,100,0.64,ID,1674431939
241,evensk,61.95,159.2333,-15.53,88,100,11.93,RU,1674432083
242,hervey bay,-25.2986,152.8535,28.34,63,17,3.13,AU,1674431950
243,itoman,26.1247,127.6694,20.01,88,75,3.6,JP,1674432084
244,nome,64.5011,-165.4064,-18.96,55,0,2.57,US,1674431476
245,cambridge,43.3601,-80.3127,-0.99,94,100,1.03,CA,1674431729
246,morondava,-20.2833,44.2833,24.77,86,98,3.82,MG,1674432085
247,bathsheba,13.2167,-59.5167,26.34,73,20,9.77,BB,1674431777
248,saint george,37.1041,-113.5841,4.33,36,75,3.6,US,1674431493
249,nacala,-14.5428,40.6728,23.32,89,100,5.04,MZ,1674431513
250,moranbah,-22.0016,148.0466,27.48,60,5,4.99,AU,1674432085
251,zhangye,38.9342,100.4517,-15.5,71,92,2.84,CN,1674431927
252,wenling,28.3669,121.36,9.51,88,99,4.07,CN,1674432086
253,podporozhye,60.9112,34.1706,-16.07,99,87,1.33,RU,1674432087
254,bidhuna,26.8022,79.5088,12.38,72,1,1.2,IN,1674432087
255,milford,41.2223,-73.0565,4.45,86,100,3.6,US,1674431860
256,korla,41.7597,86.1469,-12.28,69,2,3.67,CN,1674431530
257,te anau,-45.4167,167.7167,17.32,41,13,1.42,NZ,1674431513
258,grand gaube,-20.0064,57.6608,25.21,81,100,3.65,MU,1674431615
259,acapulco,16.8634,-99.8901,28.9,61,0,2.06,MX,1674431276
260,tatawin,32.9297,10.4518,6.01,60,2,4.19,TN,1674432088
261,pevek,69.7008,170.3133,-35.72,95,99,1.34,RU,1674431495
262,enumclaw,47.2043,-121.9915,5.75,86,98,0.89,US,1674432089
263,maturin,9.75,-63.1767,21.54,97,85,2.76,VE,1674432089
264,camacha,33.0833,-16.3333,15.68,63,40,8.23,PT,1674431812
265,shimoda,34.6667,138.95,5.61,68,100,5.69,JP,1674432090
266,oskarshamn,57.2645,16.4484,-0.01,85,7,0.76,SE,1674432091
267,bambous virieux,-20.3428,57.7575,25.12,94,75,1.03,MU,1674431570
268,nikolskoye,59.7035,30.7861,-5.06,97,70,0.79,RU,1674431405
269,severo-kurilsk,50.6789,156.125,-8.51,70,63,2.53,RU,1674431519
270,yulara,-25.2406,130.9889,30.71,15,4,6.57,AU,1674431539
271,thompson,55.7435,-97.8558,-7.91,93,100,5.14,CA,1674432033
272,poum,-20.2333,164.0167,26.68,78,98,0.52,NC,1674431519
273,liverpool,53.4106,-2.9779,4.6,91,75,2.57,GB,1674431496
274,south venice,27.0531,-82.4243,23.41,92,0,6.17,US,1674432092
275,diffa,13.3154,12.6113,21.49,16,48,3.83,NE,1674432092
276,batemans bay,-35.7167,150.1833,20.05,60,99,3.53,AU,1674431865
277,plouzane,48.3833,-4.6167,1.18,83,0,3.09,FR,1674431964
278,valparaiso,-33.0393,-71.6273,20.13,90,0,3.6,CL,1674431824
279,beringovskiy,63.05,179.3167,-21.69,95,100,6.83,RU,1674431575
280,torbay,47.6666,-52.7314,-3.57,90,75,7.2,CA,1674431505
281,peachland,49.7665,-119.7357,1.96,51,8,0.62,CA,1674432093
282,rapid valley,44.0625,-103.1463,3.02,65,100,3.09,US,1674432094
283,alofi,-19.0595,-169.9187,30.94,62,50,4.63,NU,1674431535
284,guamuchil,25.4667,-108.1,23.15,21,0,3.44,MX,1674432094
285,ponta delgada,37.7333,-25.6667,14.4,94,75,4.63,PT,1674432095
286,tateyama,34.9833,139.8667,5.61,88,100,6.37,JP,1674432095
287,necochea,-38.5473,-58.7368,17.63,87,0,3.68,AR,1674432096
288,cherskiy,68.75,161.3,-35.46,95,100,1.25,RU,1674432096
289,kyrylivka,46.3759,35.3675,1.77,85,22,6.6,UA,1674432096
290,pontes e lacerda,-15.2261,-59.3353,25.25,76,67,1.93,BR,1674432097
291,bucksport,44.5737,-68.7956,-2.22,93,100,2.13,US,1674432097
292,mizan teferi,6.9833,35.5833,17.14,67,96,1.32,ET,1674432098
293,moron,-34.6534,-58.6198,28.88,45,75,7.72,AR,1674432098
294,norman wells,65.282,-126.8329,-18.98,84,75,1.03,CA,1674431262
295,kenai,60.5544,-151.2583,-2.17,67,0,3.09,US,1674431744
296,marquette,46.5333,-87.6335,-3.87,93,100,1.17,US,1674432099
297,meulaboh,4.1363,96.1285,23.53,92,100,1.99,ID,1674431743
298,farsund,58.0948,6.8047,1.14,6,73,1.69,NO,1674432099
